system:index,VH,VV,date,.geo
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_13_0,-14.78292045619683,-12.807956881224003,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38787382422713,31.398750704814848]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_14_0,-17.639704280319158,-15.79073659138992,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38893015924434,31.399830213024604]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_15_0,-14.914156257442215,-9.935499420565295,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39008424535007,31.399104901351112]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_16_0,-20.963540023669196,-9.989958413745555,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38819755443093,31.40073469015189]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_17_0,-20.579575551325597,-14.913558889446714,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38988431262314,31.401631828270787]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_18_0,-15.723881734376565,-15.980884922244831,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39050835690932,31.399915641382243]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_19_0,-16.844754188267867,-17.595524789725875,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38840273172642,31.399470909187137]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_20_0,-13.120383058846484,-14.029161160838797,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38808531201308,31.399020741928332]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_21_0,-13.587553694130607,-7.743056100225897,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39103392467331,31.399823813804545]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_22_0,-15.099111202369219,-14.132238979642203,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38755863362013,31.398841883674635]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_23_0,-15.375831305243858,-14.015914956551196,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39050798337895,31.39982541684572]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_24_0,-17.10377759656954,-14.681585692174364,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39083102512379,31.401628945700338]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_25_0,-17.356405133858857,-14.519634246657247,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38935314695091,31.4003702832165]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_26_0,-17.467800442605682,-11.846464077452886,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38903944096401,31.40082236388852]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_27_0,-16.062650022409084,-15.869697866349837,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38966684994622,31.39991820176967]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_28_0,-16.401356542385642,-12.921695593603268,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38998316112965,31.400097691352116]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_29_0,-16.027756092800725,-15.290679224988263,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39061317164118,31.39982509641008]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_30_0,-21.01676318474582,-14.374171297640713,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38871755177955,31.399289503687303]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_31_0,-17.473211885439042,-10.59035746607111,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38903906882544,31.400732139348968]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_32_0,-16.14986424034938,-16.808057819684485,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38851052093963,31.400102162396244]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_33_0,-16.174884779977457,-11.193690242704946,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39029910017614,31.40018695560557]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_34_0,-22.588078057549584,-15.263493600915458,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38956352471789,31.400369644143964]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_35_0,-15.219239120886689,-6.596530338892598,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39061130351143,31.399373973713974]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_36_0,-13.645047072379556,-8.18576722845459,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39040130141275,31.399464839031697]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_37_0,-13.666895832295472,-9.334891713158447,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38798754694805,31.400825551540393]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_38_0,-15.453713073284609,-10.823458009218845,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39114023533428,31.400094166522834]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_39_0,-13.421281983652694,-12.203546917966603,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39103542081708,31.4001847119204]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_40_0,-16.174884779977457,-11.193690242704946,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39029910017614,31.40018695560557]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_41_0,-21.26610553359354,-12.18845795946682,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38735011169601,31.399293642338307]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_42_0,-18.801949959987624,-7.439431583803442,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3876712370512,31.400646057043538]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_43_0,-14.340698350358423,-12.80140844547528,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38966349547697,31.399106180813888]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_44_0,-14.388600646102681,-13.765220007401462,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38724936891357,31.400376654955988]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_45_0,-16.560457301994386,-14.722886786457984,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38882459903635,31.39974030752367]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_46_0,-13.107541663479052,-13.57090793096935,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38872350094003,31.40073309654732]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_47_0,-16.911917440201,-15.040636098161507,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38935649891461,31.401182304042]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_48_0,-19.13840037638999,-15.308979280162323,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38850754800922,31.399380365917654]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_49_0,-22.37367939405877,-12.965827833051266,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39030395367325,31.40135987444393]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_50_0,-16.913008134551035,-13.31851074340346,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38914016359661,31.399739350103513]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_51_0,-17.30371513407223,-11.752191891685627,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38903795241977,31.400461465722696]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_52_0,-16.05855158575324,-14.933288341189135,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39019465797863,31.40036772485517]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_53_0,-15.192770836084225,-5.876724412880656,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39134874076431,31.399642401885476]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_54_0,-22.306877806604156,-19.174336683830926,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39009320056147,31.401270290228837]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_55_0,-18.03085330999764,-14.47240149396844,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3891435136439,31.400551371029593]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_56_0,-17.491829475010533,-13.878726550298055,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39135098678084,31.400183749046565]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_57_0,-17.77711082012309,-16.977652790684846,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38903571965355,31.399920118435723]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_58_0,-17.288564587970463,-12.5435195065688,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39030022018878,31.400457629202776]}"
S1A_IW_GRDH_1SDV_20241002T125614_20241002T125639_055924_06D64E_8AE4_59_0,-21.741711003417112,-14.73983421388483,2024-10-02,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39019801718649,31.40117974559957]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_0_0,-19.038393783338044,-12.624607166669596,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38828289048098,31.40049760455855]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_1_0,-20.80133138330705,-14.767813205906455,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38954702195977,31.400944898143184]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_2_0,-15.909404441244124,-18.398660791136848,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38859511224715,31.39968462746547]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_3_0,-13.631724922791443,-13.896381992148365,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38901735316826,31.400044249698418]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_4_0,-16.27172721622101,-13.779091925065574,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38996069278866,31.39922935274837]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_5_0,-12.301735286193553,-8.018233188032667,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38764730663975,31.399416819651712]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_6_0,-16.107669720209763,-13.438241311986365,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38996703398553,31.400763169938756]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_7_0,-18.04993585295432,-13.94817691759335,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38944257749095,31.40112566677744]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_8_0,-16.620552516408104,-14.305496697295034,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39006961145631,31.400131278206636]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_9_0,-21.123583317265293,-14.691377638469982,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38965221148246,31.40094457848577]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_10_0,-18.317105487484923,-12.899311388689545,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38933850505771,31.40139665985303]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_11_0,-22.333949173366957,-15.476566932989765,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38944145991012,31.400854993180797]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_12_0,-16.649473635692566,-9.469648335975828,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3891214250781,31.399773256831093]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_13_0,-19.200023909433696,-12.635479993786248,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38785471446778,31.39869438678374]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_14_0,-22.733064414497154,-11.528831146574625,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38891142063234,31.39986411972178]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_15_0,-19.276167251100578,-14.16745046164803,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39006513420055,31.39904858366398]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_16_0,-19.665424539729933,-11.029625632449221,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38817844406374,31.400678372191305]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_17_0,-22.04716118344523,-14.206007044445998,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38986557400496,31.401665735098028]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_18_0,-17.324753196062098,-12.164996052164431,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39048961885057,31.399949548305116]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_19_0,-19.865353521287997,-10.095832626409386,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3883839929939,31.399504815810086]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_20_0,-17.748534664206062,-9.412530109610397,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38806620207131,31.39896442393259]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_21_0,-16.320965086886236,-9.507155495395029,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39101518682222,31.39985772080302]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_22_0,-12.08208702358398,-10.153435024315527,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38753952402936,31.398785565595958]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_23_0,-16.676408459788796,-12.719084498976063,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39048924533762,31.399859323768872]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_24_0,-21.68156673921289,-10.10620646843837,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39081228684806,31.40166285266317]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_25_0,-21.137070126154512,-11.106117100466307,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38943959730888,31.40040387049422]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_26_0,-16.96278384814061,-13.60020557583068,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38902070219834,31.400856270597707]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_27_0,-18.253612765995662,-15.69271374375684,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3896481115831,31.39995210857202]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_28_0,-15.429014814968337,-15.816830827286296,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38996404983256,31.40004137365977]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_29_0,-15.3099813945546,-13.45725430586732,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3905944336379,31.399859003348293]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_30_0,-19.12543498510899,-10.514533341879066,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38869844140513,31.399233185791683]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_31_0,-21.16941638622151,-12.47257402966916,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38912551940703,31.400765726834784]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_32_0,-15.820406001966456,-12.185710258416641,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38849178212315,31.400136069032307]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_33_0,-18.378819095191876,-14.318635586050794,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39027998867226,31.400130637962807]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_34_0,-20.729940421987845,-10.13332042702978,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38954478622958,31.400403550929866]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_35_0,-17.657187133369163,-9.98820839669851,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39059256559528,31.399407880653566]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_36_0,-16.127411235153208,-9.79650169030812,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39038256340308,31.39949874594089]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_37_0,-20.69963700136745,-15.966801704304503,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38796843668689,31.40076923354841]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_38_0,-15.402362417615274,-11.083151108438685,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39112112334898,31.400037849008616]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_39_0,-19.010889849263577,-9.916594715469135,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39101668289628,31.40021861891777]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_40_0,-13.14354898063421,-12.37572821484353,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39028036198903,31.40022086249749]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_41_0,-15.568209987073796,-9.228141062258192,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38733100213487,31.399237324232242]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_42_0,-21.598465889636035,-16.403299708531257,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38775731616624,31.40058942090151]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_43_0,-14.35727880642236,-12.259115504906228,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38964475727069,31.399140087618726]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_44_0,-17.972813614073203,-10.04882770508593,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38723062958826,31.40041056141041]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_45_0,-17.698545598058885,-10.381305573750808,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38891104863019,31.399773895167364]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_46_0,-15.246133114642655,-14.66574179749108,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3888099514125,31.40076668424684]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_47_0,-19.052592294984564,-14.14312829665256,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38933776019334,31.40121621079528]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_48_0,-19.753781991465,-10.783526376506824,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38859362546926,31.399323729216473]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_49_0,-21.277805147561537,-13.398558118791367,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.390284841921,31.40130355681416]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_50_0,-15.76202695142685,-8.617164484592472,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38912105287642,31.39968303227765]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_51_0,-13.861685012054846,-11.765721564533271,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38912440275179,31.40049505321272]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_52_0,-13.020291712151407,-12.819518415052935,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3901755464991,31.400311407198213]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_53_0,-16.35122499213424,-10.202265805352672,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39132962874943,31.399586084398656]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_54_0,-21.14993661928153,-13.57817299196128,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39017927876961,31.40121365247338]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_55_0,-13.861685012054846,-11.765721564533271,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38912440275179,31.40049505321272]}"
S1A_IW_GRDH_1SDV_20241003T010010_20241003T010035_055931_06D699_3C21_56_0,-16.447164933709622,-11.446891236684264,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3913322489742,31.400217656089126]}"
