system:index,NDVI,date,.geo
20241003T053651_20241003T054237_T43REQ_21_0,0.7338461,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3910452676292,31.39986958669011]}"
20241003T053651_20241003T054237_T43REQ_22_0,0.8329368,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38756960406478,31.398797432306885]}"
20241003T053651_20241003T054237_T43REQ_23_0,0.6855469,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39041413776552,31.39987151013896]}"
20241003T053651_20241003T054237_T43REQ_24_0,0.79953974,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3908423682083,31.401674718590012]}"
20241003T053651_20241003T054237_T43REQ_25_0,0.81253135,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936411671793,31.400325831711246]}"
20241003T053651_20241003T054237_T43REQ_26_0,0.85411763,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38905078307947,31.40086813695037]}"
20241003T053651_20241003T054237_T43REQ_27_0,0.8236388,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38967819225192,31.399963974780853]}"
20241003T053651_20241003T054237_T43REQ_28_0,0.7688172,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3899941305689,31.400053239793753]}"
20241003T053651_20241003T054237_T43REQ_29_0,0.70598996,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39051895254012,31.399780965242865]}"
20241003T053651_20241003T054237_T43REQ_30_0,0.20645595,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38862333408767,31.399245371111665]}"
20241003T053651_20241003T054237_T43REQ_31_0,0.856166,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38905041092939,31.400777912411584]}"
20241003T053651_20241003T054237_T43REQ_32_0,0.81261355,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38852186270844,31.400147935512823]}"
20241003T053651_20241003T054237_T43REQ_33_0,0.7195282,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031006947612,31.400142504021936]}"
20241003T053651_20241003T054237_T43REQ_34_0,0.8022528,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38946967809672,31.400415736750187]}"
20241003T053651_20241003T054237_T43REQ_35_0,0.6730228,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39062264620613,31.39941974664227]}"
20241003T053651_20241003T054237_T43REQ_36_0,0.68,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39041264401716,31.39951061197867]}"
20241003T053651_20241003T054237_T43REQ_37_0,0.51763743,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38799851741051,31.40078110014943]}"
20241003T053651_20241003T054237_T43REQ_38_0,0.77755463,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39115120422673,31.400049714869933]}"
20241003T053651_20241003T054237_T43REQ_39_0,0.76223415,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39104676381905,31.400230484802897]}"
20241003T053651_20241003T054237_T43REQ_40_0,0.72137403,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031044282181,31.400232728556134]}"
20241003T053651_20241003T054237_T43REQ_41_0,0.84807545,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3873610822893,31.3992491909903]}"
20241003T053651_20241003T054237_T43REQ_42_0,0.14259928,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3876822076431,31.400601605677377]}"
20241003T053651_20241003T054237_T43REQ_43_0,0.83764404,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38956965015565,31.39915227349165]}"
20241003T053651_20241003T054237_T43REQ_44_0,0.14009216,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38726033967477,31.40033220362269]}"
20241003T053651_20241003T054237_T43REQ_45_0,0.82413316,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38883594091182,31.39978608061416]}"
20241003T053651_20241003T054237_T43REQ_46_0,0.76560444,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38873484289127,31.400778869639097]}"
20241003T053651_20241003T054237_T43REQ_47_0,0.85311824,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936784122885,31.40122807707162]}"
20241003T053651_20241003T054237_T43REQ_48_0,0.6428979,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38851851806561,31.399335914475586]}"
20241003T053651_20241003T054237_T43REQ_49_0,0.8721926,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3902097331732,31.401315743071414]}"
20241003T053651_20241003T054237_T43REQ_50_0,0.8185993,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915113339412,31.39969489861189]}"
20241003T053651_20241003T054237_T43REQ_51_0,0.8039402,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904929448915,31.40050723878762]}"
20241003T053651_20241003T054237_T43REQ_52_0,0.7470542,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39020562734798,31.40032327328115]}"
20241003T053651_20241003T054237_T43REQ_53_0,0.7250859,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39135970950815,31.399597950212858]}"
20241003T053651_20241003T054237_T43REQ_54_0,0.8604651,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39010417007896,31.401225838668502]}"
20241003T053651_20241003T054237_T43REQ_55_0,0.801569,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915448353002,31.40050691954255]}"
20241003T053651_20241003T054237_T43REQ_56_0,0.7857858,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39136195558372,31.400139297376985]}"
20241003T053651_20241003T054237_T43REQ_57_0,0.7856944,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904668952047,31.39987566695371]}"
20241003T053651_20241003T054237_T43REQ_58_0,0.77641964,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031118951826,31.40041317762068]}"
20241003T053651_20241003T054237_T43REQ_59_0,0.8795861,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39020898664444,31.401135294030116]}"
20241008T053639_20241008T054538_T43REQ_0_0,0.7259487,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38831297115634,31.400509471086675]}"
20241008T053639_20241008T054538_T43REQ_1_0,0.7340425,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38957710293414,31.400956764371404]}"
20241008T053639_20241008T054538_T43REQ_2_0,0.76371664,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38852000455684,31.39969681272711]}"
20241008T053639_20241008T054538_T43REQ_3_0,0.7194191,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904743378889,31.400056116055488]}"
20241008T053639_20241008T054538_T43REQ_4_0,0.4643792,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38988558564554,31.39924153880646]}"
20241008T053639_20241008T054538_T43REQ_5_0,0.7450642,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38767738689063,31.399428686334442]}"
20241008T053639_20241008T054538_T43REQ_6_0,0.73751783,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38999711495343,31.400775036068804]}"
20241008T053639_20241008T054538_T43REQ_7_0,0.76451933,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38947265851037,31.40113753302947]}"
20241008T053639_20241008T054538_T43REQ_8_0,0.54779273,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39009931909163,31.400052919777625]}"
20241008T053639_20241008T054538_T43REQ_9_0,0.7340425,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38957710293414,31.400956764371404]}"
20241008T053639_20241008T054538_T43REQ_10_0,0.75819874,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936858615111,31.401408526128385]}"
20241008T053639_20241008T054538_T43REQ_11_0,0.7258158,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38947154084269,31.40086685943431]}"
20241008T053639_20241008T054538_T43REQ_12_0,0.7848852,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915150562475,31.399785123164843]}"
20241008T053639_20241008T054538_T43REQ_13_0,0.8097519,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38788479451281,31.398706253420798]}"
20241008T053639_20241008T054538_T43REQ_14_0,0.7238569,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38894150118222,31.399875986104615]}"
20241008T053639_20241008T054538_T43REQ_15_0,0.44908723,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39009521463133,31.399060449778577]}"
20241008T053639_20241008T054538_T43REQ_16_0,0.7649007,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38820852478413,31.40069023874324]}"
20241008T053639_20241008T054538_T43REQ_17_0,0.7808104,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3897900920429,31.40158769659236]}"
20241008T053639_20241008T054538_T43REQ_18_0,0.47935104,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39051969962223,31.399961414315648]}"
20241008T053639_20241008T054538_T43REQ_19_0,0.77305824,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3884140733637,31.39951668231881]}"
20241008T053639_20241008T054538_T43REQ_20_0,0.7861915,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38799109488168,31.39897660888161]}"
20241008T053639_20241008T054538_T43REQ_21_0,0.52111447,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3910452676292,31.39986958669011]}"
20241008T053639_20241008T054538_T43REQ_22_0,0.8212472,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38756960406478,31.398797432306885]}"
20241008T053639_20241008T054538_T43REQ_23_0,0.44083136,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39041413776552,31.39987151013896]}"
20241008T053639_20241008T054538_T43REQ_24_0,0.6314026,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3908423682083,31.401674718590012]}"
20241008T053639_20241008T054538_T43REQ_25_0,0.739251,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936411671793,31.400325831711246]}"
20241008T053639_20241008T054538_T43REQ_26_0,0.7773731,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38905078307947,31.40086813695037]}"
20241008T053639_20241008T054538_T43REQ_27_0,0.7691128,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38967819225192,31.399963974780853]}"
20241008T053639_20241008T054538_T43REQ_28_0,0.7297179,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3899941305689,31.400053239793753]}"
20241008T053639_20241008T054538_T43REQ_29_0,0.50285435,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39051895254012,31.399780965242865]}"
20241008T053639_20241008T054538_T43REQ_30_0,0.29025844,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38862333408767,31.399245371111665]}"
20241008T053639_20241008T054538_T43REQ_31_0,0.74923545,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38905041092939,31.400777912411584]}"
20241008T053639_20241008T054538_T43REQ_32_0,0.7432992,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38852186270844,31.400147935512823]}"
20241008T053639_20241008T054538_T43REQ_33_0,0.4655121,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031006947612,31.400142504021936]}"
20241008T053639_20241008T054538_T43REQ_34_0,0.7143467,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38946967809672,31.400415736750187]}"
20241008T053639_20241008T054538_T43REQ_35_0,0.46053553,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39062264620613,31.39941974664227]}"
20241008T053639_20241008T054538_T43REQ_36_0,0.4596888,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39041264401716,31.39951061197867]}"
20241008T053639_20241008T054538_T43REQ_37_0,0.43158635,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38799851741051,31.40078110014943]}"
20241008T053639_20241008T054538_T43REQ_38_0,0.6419607,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39115120422673,31.400049714869933]}"
20241008T053639_20241008T054538_T43REQ_39_0,0.6551724,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39104676381905,31.400230484802897]}"
20241008T053639_20241008T054538_T43REQ_40_0,0.48590124,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031044282181,31.400232728556134]}"
20241008T053639_20241008T054538_T43REQ_41_0,0.7855015,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3873610822893,31.3992491909903]}"
20241008T053639_20241008T054538_T43REQ_42_0,0.117839605,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3876822076431,31.400601605677377]}"
20241008T053639_20241008T054538_T43REQ_43_0,0.76488096,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38956965015565,31.39915227349165]}"
20241008T053639_20241008T054538_T43REQ_44_0,0.13677314,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38726033967477,31.40033220362269]}"
20241008T053639_20241008T054538_T43REQ_45_0,0.7647059,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38883594091182,31.39978608061416]}"
20241008T053639_20241008T054538_T43REQ_46_0,0.73887736,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38873484289127,31.400778869639097]}"
20241008T053639_20241008T054538_T43REQ_47_0,0.75047904,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936784122885,31.40122807707162]}"
20241008T053639_20241008T054538_T43REQ_48_0,0.5276705,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38851851806561,31.399335914475586]}"
20241008T053639_20241008T054538_T43REQ_49_0,0.82282,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3902097331732,31.401315743071414]}"
20241008T053639_20241008T054538_T43REQ_50_0,0.8123496,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915113339412,31.39969489861189]}"
20241008T053639_20241008T054538_T43REQ_51_0,0.73397243,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904929448915,31.40050723878762]}"
20241008T053639_20241008T054538_T43REQ_52_0,0.619652,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39020562734798,31.40032327328115]}"
20241008T053639_20241008T054538_T43REQ_53_0,0.52370787,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39135970950815,31.399597950212858]}"
20241008T053639_20241008T054538_T43REQ_54_0,0.79616725,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39010417007896,31.401225838668502]}"
20241008T053639_20241008T054538_T43REQ_55_0,0.7516129,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915448353002,31.40050691954255]}"
20241008T053639_20241008T054538_T43REQ_56_0,0.65649045,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39136195558372,31.400139297376985]}"
20241008T053639_20241008T054538_T43REQ_57_0,0.7479636,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904668952047,31.39987566695371]}"
20241008T053639_20241008T054538_T43REQ_58_0,0.6418605,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031118951826,31.40041317762068]}"
20241008T053639_20241008T054538_T43REQ_59_0,0.83111113,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39020898664444,31.401135294030116]}"
20241013T053801_20241013T054552_T43REQ_0_0,0.5952327,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38831297115634,31.400509471086675]}"
20241013T053801_20241013T054552_T43REQ_1_0,0.54263896,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38957710293414,31.400956764371404]}"
20241013T053801_20241013T054552_T43REQ_2_0,0.60172784,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38852000455684,31.39969681272711]}"
20241013T053801_20241013T054552_T43REQ_3_0,0.54118824,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904743378889,31.400056116055488]}"
20241013T053801_20241013T054552_T43REQ_4_0,0.2902829,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38988558564554,31.39924153880646]}"
20241013T053801_20241013T054552_T43REQ_5_0,0.59386355,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38767738689063,31.399428686334442]}"
20241013T053801_20241013T054552_T43REQ_6_0,0.587761,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38999711495343,31.400775036068804]}"
20241013T053801_20241013T054552_T43REQ_7_0,0.5599424,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38947265851037,31.40113753302947]}"
20241013T053801_20241013T054552_T43REQ_8_0,0.4844517,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39009931909163,31.400052919777625]}"
20241013T053801_20241013T054552_T43REQ_9_0,0.54263896,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38957710293414,31.400956764371404]}"
20241013T053801_20241013T054552_T43REQ_10_0,0.5320955,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936858615111,31.401408526128385]}"
20241013T053801_20241013T054552_T43REQ_11_0,0.53661466,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38947154084269,31.40086685943431]}"
20241013T053801_20241013T054552_T43REQ_12_0,0.58107764,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915150562475,31.399785123164843]}"
20241013T053801_20241013T054552_T43REQ_13_0,0.6553985,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38788479451281,31.398706253420798]}"
20241013T053801_20241013T054552_T43REQ_14_0,0.5550228,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38894150118222,31.399875986104615]}"
20241013T053801_20241013T054552_T43REQ_15_0,0.2967198,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39009521463133,31.399060449778577]}"
20241013T053801_20241013T054552_T43REQ_16_0,0.6418574,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38820852478413,31.40069023874324]}"
20241013T053801_20241013T054552_T43REQ_17_0,0.5629963,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3897900920429,31.40158769659236]}"
20241013T053801_20241013T054552_T43REQ_18_0,0.3353496,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39051969962223,31.399961414315648]}"
20241013T053801_20241013T054552_T43REQ_19_0,0.60232943,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3884140733637,31.39951668231881]}"
20241013T053801_20241013T054552_T43REQ_20_0,0.6150235,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38799109488168,31.39897660888161]}"
20241013T053801_20241013T054552_T43REQ_21_0,0.3616148,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3910452676292,31.39986958669011]}"
20241013T053801_20241013T054552_T43REQ_22_0,0.66343313,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38756960406478,31.398797432306885]}"
20241013T053801_20241013T054552_T43REQ_23_0,0.31196138,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39041413776552,31.39987151013896]}"
20241013T053801_20241013T054552_T43REQ_24_0,0.41611373,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3908423682083,31.401674718590012]}"
20241013T053801_20241013T054552_T43REQ_25_0,0.59666026,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936411671793,31.400325831711246]}"
20241013T053801_20241013T054552_T43REQ_26_0,0.5632411,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38905078307947,31.40086813695037]}"
20241013T053801_20241013T054552_T43REQ_27_0,0.6066757,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38967819225192,31.399963974780853]}"
20241013T053801_20241013T054552_T43REQ_28_0,0.55914205,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3899941305689,31.400053239793753]}"
20241013T053801_20241013T054552_T43REQ_29_0,0.31418863,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39051895254012,31.399780965242865]}"
20241013T053801_20241013T054552_T43REQ_30_0,0.24212812,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38862333408767,31.399245371111665]}"
20241013T053801_20241013T054552_T43REQ_31_0,0.5641692,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38905041092939,31.400777912411584]}"
20241013T053801_20241013T054552_T43REQ_32_0,0.6052288,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38852186270844,31.400147935512823]}"
20241013T053801_20241013T054552_T43REQ_33_0,0.33289817,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031006947612,31.400142504021936]}"
20241013T053801_20241013T054552_T43REQ_34_0,0.5559956,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38946967809672,31.400415736750187]}"
20241013T053801_20241013T054552_T43REQ_35_0,0.2800602,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39062264620613,31.39941974664227]}"
20241013T053801_20241013T054552_T43REQ_36_0,0.31434,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39041264401716,31.39951061197867]}"
20241013T053801_20241013T054552_T43REQ_37_0,0.48376068,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38799851741051,31.40078110014943]}"
20241013T053801_20241013T054552_T43REQ_38_0,0.46565711,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39115120422673,31.400049714869933]}"
20241013T053801_20241013T054552_T43REQ_39_0,0.48523885,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39104676381905,31.400230484802897]}"
20241013T053801_20241013T054552_T43REQ_40_0,0.36942002,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031044282181,31.400232728556134]}"
20241013T053801_20241013T054552_T43REQ_41_0,0.6276704,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3873610822893,31.3992491909903]}"
20241013T053801_20241013T054552_T43REQ_42_0,0.18272425,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3876822076431,31.400601605677377]}"
20241013T053801_20241013T054552_T43REQ_43_0,0.6283681,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38956965015565,31.39915227349165]}"
20241013T053801_20241013T054552_T43REQ_44_0,0.19327731,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38726033967477,31.40033220362269]}"
20241013T053801_20241013T054552_T43REQ_45_0,0.58502203,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38883594091182,31.39978608061416]}"
