system:index,NDWI,date,.geo
20241003T053651_20241003T054237_T43REQ_48_0,-0.6570771,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38851851806561,31.399335914475586]}"
20241003T053651_20241003T054237_T43REQ_49_0,-0.7666594,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3902097331732,31.401315743071414]}"
20241003T053651_20241003T054237_T43REQ_50_0,-0.7278429,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915113339412,31.39969489861189]}"
20241003T053651_20241003T054237_T43REQ_51_0,-0.7113263,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904929448915,31.40050723878762]}"
20241003T053651_20241003T054237_T43REQ_52_0,-0.66467065,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39020562734798,31.40032327328115]}"
20241003T053651_20241003T054237_T43REQ_53_0,-0.63517916,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39135970950815,31.399597950212858]}"
20241003T053651_20241003T054237_T43REQ_54_0,-0.7610063,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39010417007896,31.401225838668502]}"
20241003T053651_20241003T054237_T43REQ_55_0,-0.6885813,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915448353002,31.40050691954255]}"
20241003T053651_20241003T054237_T43REQ_56_0,-0.70717704,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39136195558372,31.400139297376985]}"
20241003T053651_20241003T054237_T43REQ_57_0,-0.7005036,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904668952047,31.39987566695371]}"
20241003T053651_20241003T054237_T43REQ_58_0,-0.70562345,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031118951826,31.40041317762068]}"
20241003T053651_20241003T054237_T43REQ_59_0,-0.7748168,2024-10-03,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39020898664444,31.401135294030116]}"
20241008T053639_20241008T054538_T43REQ_0_0,-0.61652255,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38831297115634,31.400509471086675]}"
20241008T053639_20241008T054538_T43REQ_1_0,-0.62127006,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38957710293414,31.400956764371404]}"
20241008T053639_20241008T054538_T43REQ_2_0,-0.653202,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38852000455684,31.39969681272711]}"
20241008T053639_20241008T054538_T43REQ_3_0,-0.64221907,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904743378889,31.400056116055488]}"
20241008T053639_20241008T054538_T43REQ_4_0,-0.50733316,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38988558564554,31.39924153880646]}"
20241008T053639_20241008T054538_T43REQ_5_0,-0.61647725,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38767738689063,31.399428686334442]}"
20241008T053639_20241008T054538_T43REQ_6_0,-0.6224548,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38999711495343,31.400775036068804]}"
20241008T053639_20241008T054538_T43REQ_7_0,-0.64516723,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38947265851037,31.40113753302947]}"
20241008T053639_20241008T054538_T43REQ_8_0,-0.5525606,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39009931909163,31.400052919777625]}"
20241008T053639_20241008T054538_T43REQ_9_0,-0.62127006,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38957710293414,31.400956764371404]}"
20241008T053639_20241008T054538_T43REQ_10_0,-0.6971415,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936858615111,31.401408526128385]}"
20241008T053639_20241008T054538_T43REQ_11_0,-0.60784316,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38947154084269,31.40086685943431]}"
20241008T053639_20241008T054538_T43REQ_12_0,-0.68451804,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915150562475,31.399785123164843]}"
20241008T053639_20241008T054538_T43REQ_13_0,-0.6671395,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38788479451281,31.398706253420798]}"
20241008T053639_20241008T054538_T43REQ_14_0,-0.63013697,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38894150118222,31.399875986104615]}"
20241008T053639_20241008T054538_T43REQ_15_0,-0.52845526,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39009521463133,31.399060449778577]}"
20241008T053639_20241008T054538_T43REQ_16_0,-0.653354,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38820852478413,31.40069023874324]}"
20241008T053639_20241008T054538_T43REQ_17_0,-0.6664047,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3897900920429,31.40158769659236]}"
20241008T053639_20241008T054538_T43REQ_18_0,-0.53481257,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39051969962223,31.399961414315648]}"
20241008T053639_20241008T054538_T43REQ_19_0,-0.62846,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3884140733637,31.39951668231881]}"
20241008T053639_20241008T054538_T43REQ_20_0,-0.67315716,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38799109488168,31.39897660888161]}"
20241008T053639_20241008T054538_T43REQ_21_0,-0.53312856,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3910452676292,31.39986958669011]}"
20241008T053639_20241008T054538_T43REQ_22_0,-0.6777695,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38756960406478,31.398797432306885]}"
20241008T053639_20241008T054538_T43REQ_23_0,-0.5117833,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39041413776552,31.39987151013896]}"
20241008T053639_20241008T054538_T43REQ_24_0,-0.6361018,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3908423682083,31.401674718590012]}"
20241008T053639_20241008T054538_T43REQ_25_0,-0.63372415,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936411671793,31.400325831711246]}"
20241008T053639_20241008T054538_T43REQ_26_0,-0.7070398,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38905078307947,31.40086813695037]}"
20241008T053639_20241008T054538_T43REQ_27_0,-0.6569553,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38967819225192,31.399963974780853]}"
20241008T053639_20241008T054538_T43REQ_28_0,-0.66036946,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3899941305689,31.400053239793753]}"
20241008T053639_20241008T054538_T43REQ_29_0,-0.52980244,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39051895254012,31.399780965242865]}"
20241008T053639_20241008T054538_T43REQ_30_0,-0.34160206,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38862333408767,31.399245371111665]}"
20241008T053639_20241008T054538_T43REQ_31_0,-0.6572848,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38905041092939,31.400777912411584]}"
20241008T053639_20241008T054538_T43REQ_32_0,-0.6359918,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38852186270844,31.400147935512823]}"
20241008T053639_20241008T054538_T43REQ_33_0,-0.4967978,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031006947612,31.400142504021936]}"
20241008T053639_20241008T054538_T43REQ_34_0,-0.62255,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38946967809672,31.400415736750187]}"
20241008T053639_20241008T054538_T43REQ_35_0,-0.50136906,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39062264620613,31.39941974664227]}"
20241008T053639_20241008T054538_T43REQ_36_0,-0.5008726,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39041264401716,31.39951061197867]}"
20241008T053639_20241008T054538_T43REQ_37_0,-0.4698447,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38799851741051,31.40078110014943]}"
20241008T053639_20241008T054538_T43REQ_38_0,-0.6227475,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39115120422673,31.400049714869933]}"
20241008T053639_20241008T054538_T43REQ_39_0,-0.625498,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39104676381905,31.400230484802897]}"
20241008T053639_20241008T054538_T43REQ_40_0,-0.50798416,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031044282181,31.400232728556134]}"
20241008T053639_20241008T054538_T43REQ_41_0,-0.6571429,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3873610822893,31.3992491909903]}"
20241008T053639_20241008T054538_T43REQ_42_0,-0.23563997,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3876822076431,31.400601605677377]}"
20241008T053639_20241008T054538_T43REQ_43_0,-0.70565677,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38956965015565,31.39915227349165]}"
20241008T053639_20241008T054538_T43REQ_44_0,-0.24651998,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38726033967477,31.40033220362269]}"
20241008T053639_20241008T054538_T43REQ_45_0,-0.6409352,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38883594091182,31.39978608061416]}"
20241008T053639_20241008T054538_T43REQ_46_0,-0.64840364,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38873484289127,31.400778869639097]}"
20241008T053639_20241008T054538_T43REQ_47_0,-0.6769325,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936784122885,31.40122807707162]}"
20241008T053639_20241008T054538_T43REQ_48_0,-0.5106586,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38851851806561,31.399335914475586]}"
20241008T053639_20241008T054538_T43REQ_49_0,-0.7255763,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3902097331732,31.401315743071414]}"
20241008T053639_20241008T054538_T43REQ_50_0,-0.7164557,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915113339412,31.39969489861189]}"
20241008T053639_20241008T054538_T43REQ_51_0,-0.6285875,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904929448915,31.40050723878762]}"
20241008T053639_20241008T054538_T43REQ_52_0,-0.5849359,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39020562734798,31.40032327328115]}"
20241008T053639_20241008T054538_T43REQ_53_0,-0.5396703,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39135970950815,31.399597950212858]}"
20241008T053639_20241008T054538_T43REQ_54_0,-0.69433033,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39010417007896,31.401225838668502]}"
20241008T053639_20241008T054538_T43REQ_55_0,-0.6404834,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915448353002,31.40050691954255]}"
20241008T053639_20241008T054538_T43REQ_56_0,-0.64424735,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39136195558372,31.400139297376985]}"
20241008T053639_20241008T054538_T43REQ_57_0,-0.6540467,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904668952047,31.39987566695371]}"
20241008T053639_20241008T054538_T43REQ_58_0,-0.6267281,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031118951826,31.40041317762068]}"
20241008T053639_20241008T054538_T43REQ_59_0,-0.7274633,2024-10-08,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39020898664444,31.401135294030116]}"
20241013T053801_20241013T054552_T43REQ_0_0,-0.5398307,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38831297115634,31.400509471086675]}"
20241013T053801_20241013T054552_T43REQ_1_0,-0.53288364,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38957710293414,31.400956764371404]}"
20241013T053801_20241013T054552_T43REQ_2_0,-0.5411471,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38852000455684,31.39969681272711]}"
20241013T053801_20241013T054552_T43REQ_3_0,-0.5210643,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38904743378889,31.400056116055488]}"
20241013T053801_20241013T054552_T43REQ_4_0,-0.4330601,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38988558564554,31.39924153880646]}"
20241013T053801_20241013T054552_T43REQ_5_0,-0.52904725,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38767738689063,31.399428686334442]}"
20241013T053801_20241013T054552_T43REQ_6_0,-0.536,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38999711495343,31.400775036068804]}"
20241013T053801_20241013T054552_T43REQ_7_0,-0.5309788,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38947265851037,31.40113753302947]}"
20241013T053801_20241013T054552_T43REQ_8_0,-0.49669966,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39009931909163,31.400052919777625]}"
20241013T053801_20241013T054552_T43REQ_9_0,-0.53288364,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38957710293414,31.400956764371404]}"
20241013T053801_20241013T054552_T43REQ_10_0,-0.55185384,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936858615111,31.401408526128385]}"
20241013T053801_20241013T054552_T43REQ_11_0,-0.5153907,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38947154084269,31.40086685943431]}"
20241013T053801_20241013T054552_T43REQ_12_0,-0.54435384,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38915150562475,31.399785123164843]}"
20241013T053801_20241013T054552_T43REQ_13_0,-0.5880503,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38788479451281,31.398706253420798]}"
20241013T053801_20241013T054552_T43REQ_14_0,-0.5193254,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38894150118222,31.399875986104615]}"
20241013T053801_20241013T054552_T43REQ_15_0,-0.4272746,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39009521463133,31.399060449778577]}"
20241013T053801_20241013T054552_T43REQ_16_0,-0.5824411,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38820852478413,31.40069023874324]}"
20241013T053801_20241013T054552_T43REQ_17_0,-0.5307967,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3897900920429,31.40158769659236]}"
20241013T053801_20241013T054552_T43REQ_18_0,-0.44707924,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39051969962223,31.399961414315648]}"
20241013T053801_20241013T054552_T43REQ_19_0,-0.5408,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3884140733637,31.39951668231881]}"
20241013T053801_20241013T054552_T43REQ_20_0,-0.54888505,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38799109488168,31.39897660888161]}"
20241013T053801_20241013T054552_T43REQ_21_0,-0.46055046,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3910452676292,31.39986958669011]}"
20241013T053801_20241013T054552_T43REQ_22_0,-0.56570065,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38756960406478,31.398797432306885]}"
20241013T053801_20241013T054552_T43REQ_23_0,-0.41697693,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39041413776552,31.39987151013896]}"
20241013T053801_20241013T054552_T43REQ_24_0,-0.48582795,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3908423682083,31.401674718590012]}"
20241013T053801_20241013T054552_T43REQ_25_0,-0.5547217,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38936411671793,31.400325831711246]}"
20241013T053801_20241013T054552_T43REQ_26_0,-0.5509804,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38905078307947,31.40086813695037]}"
20241013T053801_20241013T054552_T43REQ_27_0,-0.5373328,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38967819225192,31.399963974780853]}"
20241013T053801_20241013T054552_T43REQ_28_0,-0.5267207,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3899941305689,31.400053239793753]}"
20241013T053801_20241013T054552_T43REQ_29_0,-0.44695976,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39051895254012,31.399780965242865]}"
20241013T053801_20241013T054552_T43REQ_30_0,-0.27040532,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38862333408767,31.399245371111665]}"
20241013T053801_20241013T054552_T43REQ_31_0,-0.5597455,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38905041092939,31.400777912411584]}"
20241013T053801_20241013T054552_T43REQ_32_0,-0.5401338,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38852186270844,31.400147935512823]}"
20241013T053801_20241013T054552_T43REQ_33_0,-0.4410727,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031006947612,31.400142504021936]}"
20241013T053801_20241013T054552_T43REQ_34_0,-0.5124038,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38946967809672,31.400415736750187]}"
20241013T053801_20241013T054552_T43REQ_35_0,-0.4356118,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39062264620613,31.39941974664227]}"
20241013T053801_20241013T054552_T43REQ_36_0,-0.43717548,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39041264401716,31.39951061197867]}"
20241013T053801_20241013T054552_T43REQ_37_0,-0.44305903,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38799851741051,31.40078110014943]}"
20241013T053801_20241013T054552_T43REQ_38_0,-0.48006552,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39115120422673,31.400049714869933]}"
20241013T053801_20241013T054552_T43REQ_39_0,-0.5140903,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39104676381905,31.400230484802897]}"
20241013T053801_20241013T054552_T43REQ_40_0,-0.4663154,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.39031044282181,31.400232728556134]}"
20241013T053801_20241013T054552_T43REQ_41_0,-0.55098873,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3873610822893,31.3992491909903]}"
20241013T053801_20241013T054552_T43REQ_42_0,-0.23468208,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.3876822076431,31.400601605677377]}"
20241013T053801_20241013T054552_T43REQ_43_0,-0.6015,2024-10-13,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.38956965015565,31.39915227349165]}"
